ts,asset,dw,regime
2025-11-25T02:00:00+00:00,BTC,1.8932e-05,capitulation
2025-11-25T03:00:00+00:00,BNB,0.0002197028,capitulation
2025-11-25T03:00:00+00:00,BTC,0.0002197028,capitulation
2025-11-25T04:00:00+00:00,BNB,1.8012e-06,capitulation
2025-11-25T04:00:00+00:00,BTC,1.8012e-06,capitulation
2025-11-25T05:00:00+00:00,BNB,9.05946e-05,capitulation
2025-11-25T05:00:00+00:00,BTC,9.05946e-05,capitulation
2025-11-25T06:00:00+00:00,BNB,8.1008e-06,capitulation
2025-11-25T06:00:00+00:00,BTC,8.1008e-06,capitulation
2025-11-25T07:00:00+00:00,BNB,0.0001075856,capitulation
2025-11-25T07:00:00+00:00,BTC,0.0001075856,capitulation
2025-11-25T08:00:00+00:00,BNB,0.0001365145,capitulation
2025-11-25T08:00:00+00:00,BTC,0.0001365145,capitulation
2025-11-25T09:00:00+00:00,BNB,0.0001417355,capitulation
2025-11-25T09:00:00+00:00,BTC,0.0001417355,capitulation
2025-11-25T10:00:00+00:00,BNB,8.6515e-06,capitulation
2025-11-25T10:00:00+00:00,BTC,8.6515e-06,capitulation
2025-11-25T11:00:00+00:00,BNB,4.193e-07,capitulation
2025-11-25T11:00:00+00:00,BTC,4.193e-07,capitulation
2025-11-25T12:00:00+00:00,BNB,3.736e-07,capitulation
2025-11-25T12:00:00+00:00,BTC,3.736e-07,capitulation
2025-11-25T13:00:00+00:00,BNB,1.12101e-05,capitulation
2025-11-25T13:00:00+00:00,BTC,1.12101e-05,capitulation
2025-11-25T14:00:00+00:00,BNB,6.26048e-05,capitulation
2025-11-25T14:00:00+00:00,BTC,6.26048e-05,capitulation
2025-11-25T15:00:00+00:00,BNB,3.58513e-05,capitulation
2025-11-25T15:00:00+00:00,BTC,3.58513e-05,capitulation
2025-11-25T16:00:00+00:00,BNB,0.0008600189,capitulation
2025-11-25T16:00:00+00:00,BTC,0.0008600189,capitulation
2025-11-25T17:00:00+00:00,BNB,0.000129341,capitulation
2025-11-25T17:00:00+00:00,BTC,0.000129341,capitulation
2025-11-25T18:00:00+00:00,BNB,0.0001036129,capitulation
2025-11-25T18:00:00+00:00,BTC,0.0001036129,capitulation
2025-11-25T19:00:00+00:00,BNB,4.61896e-05,capitulation
2025-11-25T19:00:00+00:00,BTC,4.61896e-05,capitulation
2025-11-25T20:00:00+00:00,BNB,3.8635e-05,capitulation
2025-11-25T20:00:00+00:00,BTC,3.8635e-05,capitulation
2025-11-25T21:00:00+00:00,BNB,6.51614e-05,capitulation
2025-11-25T21:00:00+00:00,BTC,6.51614e-05,capitulation
2025-11-25T22:00:00+00:00,BNB,1.72052e-05,capitulation
2025-11-25T22:00:00+00:00,BTC,1.72052e-05,capitulation
2025-11-25T23:00:00+00:00,BNB,9.8957e-06,capitulation
2025-11-25T23:00:00+00:00,BTC,9.8957e-06,capitulation
2025-11-26T00:00:00+00:00,BNB,1.35287e-05,capitulation
2025-11-26T00:00:00+00:00,BTC,1.35287e-05,capitulation
2025-11-26T01:00:00+00:00,BNB,7.21317e-05,capitulation
2025-11-26T01:00:00+00:00,BTC,7.21317e-05,capitulation
2025-11-26T02:00:00+00:00,BNB,5.54809e-05,capitulation
2025-11-26T02:00:00+00:00,BTC,5.54809e-05,capitulation
2025-11-26T03:00:00+00:00,BNB,4.4014e-06,capitulation
2025-11-26T03:00:00+00:00,BTC,4.4014e-06,capitulation
2025-11-26T04:00:00+00:00,BNB,3.2008e-05,capitulation
2025-11-26T04:00:00+00:00,BTC,3.2008e-05,capitulation
2025-11-26T05:00:00+00:00,BNB,0.0001659899,capitulation
2025-11-26T05:00:00+00:00,BTC,0.0001659899,capitulation
2025-11-26T06:00:00+00:00,BNB,0.0001373947,capitulation
2025-11-26T06:00:00+00:00,BTC,0.0001373947,capitulation
2025-11-26T07:00:00+00:00,BNB,8.04704e-05,capitulation
2025-11-26T07:00:00+00:00,BTC,8.04704e-05,capitulation
2025-11-26T08:00:00+00:00,BNB,0.0002941632,capitulation
2025-11-26T08:00:00+00:00,BTC,0.0002941632,capitulation
2025-11-26T09:00:00+00:00,BNB,4.7072e-05,capitulation
2025-11-26T09:00:00+00:00,BTC,4.7072e-05,capitulation
2025-11-26T10:00:00+00:00,BNB,0.0001368121,capitulation
2025-11-26T10:00:00+00:00,BTC,0.0001368121,capitulation
2025-11-26T11:00:00+00:00,BNB,9.03e-07,capitulation
2025-11-26T11:00:00+00:00,BTC,9.03e-07,capitulation
2025-11-26T12:00:00+00:00,BNB,5.8799e-06,capitulation
2025-11-26T12:00:00+00:00,BTC,5.8799e-06,capitulation
2025-11-26T13:00:00+00:00,BNB,1.5973e-05,capitulation
2025-11-26T13:00:00+00:00,BTC,1.5973e-05,capitulation
2025-11-26T14:00:00+00:00,BNB,6.50679e-05,capitulation
2025-11-26T14:00:00+00:00,BTC,6.50679e-05,capitulation
2025-11-26T15:00:00+00:00,BNB,2.55392e-05,capitulation
2025-11-26T15:00:00+00:00,BTC,2.55392e-05,capitulation
2025-11-26T16:00:00+00:00,BNB,0.0011992789,capitulation
2025-11-26T16:00:00+00:00,BTC,0.0011992789,capitulation
2025-11-26T17:00:00+00:00,BNB,0.0003243349,capitulation
2025-11-26T17:00:00+00:00,BTC,0.0003243349,capitulation
2025-11-26T18:00:00+00:00,BNB,0.0015763241,capitulation
2025-11-26T18:00:00+00:00,BTC,0.0015763241,capitulation
2025-11-26T19:00:00+00:00,BNB,9.4201e-06,capitulation
2025-11-26T19:00:00+00:00,BTC,9.4201e-06,capitulation
2025-11-26T20:00:00+00:00,BNB,3.51854e-05,capitulation
2025-11-26T20:00:00+00:00,BTC,3.51854e-05,capitulation
2025-11-26T21:00:00+00:00,BNB,0.0001478049,capitulation
2025-11-26T21:00:00+00:00,BTC,0.0001478049,capitulation
2025-11-26T22:00:00+00:00,BNB,0.0004080237,capitulation
2025-11-26T22:00:00+00:00,BTC,0.0004080237,capitulation
2025-11-26T23:00:00+00:00,BNB,8.8245e-06,capitulation
2025-11-26T23:00:00+00:00,BTC,8.8245e-06,capitulation
2025-11-27T00:00:00+00:00,BNB,0.0004428272,capitulation
2025-11-27T00:00:00+00:00,BTC,0.0004428272,capitulation
2025-11-27T01:00:00+00:00,BNB,0.0096619765,capitulation
2025-11-27T01:00:00+00:00,BTC,0.0096619765,capitulation
2025-11-27T02:00:00+00:00,BNB,1.80755e-05,capitulation
2025-11-27T02:00:00+00:00,BTC,1.80755e-05,capitulation
